client_id,date_analyzed,order_no,order_time,stock_code,stock_name,order_side,quantity,price,order_status,confidence_score,verification_status,reasoning,model
P77197,2025-10-20,78389095,2025-10-20 10:02:50.317,18138,騰訊摩通六一購B,B,20000,0.38,F,1.00,High Confidence,"對話中明確提及所有關鍵交易資訊： 1. 股票代碼：客戶明確說出「一八一三八」(18138)（start_time: 34.78） 2. 買入操作：客戶表示「買兩萬股」（start_time: 54.22） 3. 價格：雙方確認「三毫八」即0.38港幣（start_time: 37.26, 57.345, 68.7） 4. 數量：明確提到「兩萬股」（start_time: 54.22, 95.575） 5. 狀態：經紀確認「幫你掛單」（start_time: 90.825） 所有交易參數完全吻合，且有明確確認語句",qwen3:32b
P77197,2025-10-20,78394447,2025-10-20 14:09:56.297,18138,騰訊摩通六一購B,A,20000,0.415,O,0.50,Medium Confidence,"對話中提及部分資訊但存在不確定性： 1. 股票代碼：與記錄1相同為18138，但對話中未明確提及賣出操作 2. 數量：提及「兩萬股」（start_time: 54.22, 95.575），但未明確與賣出掛鉤 3. 價格：對話中提及「七毫二」(0.72) 和「六毫七」(0.67)（start_time: 124.645, 135.02），與記錄中的0.415不匹配 4. 時間：交易時間為14:09:56，對話中未提及具體掛單時間 5. 賣出操作：對話中僅提及「賣」但未明確數量與價格（start_time: 150.675, 161.425） 缺乏明確的賣出確認語句，且價格不匹配",qwen3:32b
P77197,2025-10-09 10:57:32,78246476,2025-10-09 10:57:32.620,3320,華潤醫藥,A,10000,4.94,C,0.90,,"The conversation explicitly mentions stock code 3320 (華潤醫藥) and the price 4.94/4.95. The client confirms selling at 4.95, and the broker states '食酒一萬股啊' (execute 10,000 shares). The quantity (10,000) and price (4.94) in the record align with the discussion. However, the exact timestamp of the order (10:57:32) is not confirmed in the conversation, which occurs at 15:35:37.",
P77197,2025-10-09 10:57:32,78246540,2025-10-09 10:58:42.867,9698,萬國數據－ＳＷ,B,1000,36.52,X,0.00,,"The stock code 9698 (萬國數據－ＳＷ) is not mentioned in the conversation. The client discusses Alibaba (9988) and 3320, but no reference to 9698 or the price 36.52 is made. The quantity (1,000) and price (36.52) in the record do not align with the conversation's focus on 173.4 for Alibaba.",
P77197,2025-10-09 10:57:32,78246546,2025-10-09 10:58:52.960,9698,萬國數據－ＳＷ,B,1000,36.52,C,0.00,,"Same as Record #2. The stock code 9698 and price 36.52 are not mentioned in the conversation. The client's discussion centers on Alibaba (9988) and 3320, with no reference to 9698.",
P77197,2025-10-09 10:57:32,78248350,2025-10-09 11:56:09.097,3320,華潤醫藥,A,0,4.94,C,0.00,,"The stock code 3320 is mentioned, but the quantity (0) in the record is not discussed in the conversation. The client and broker explicitly reference 10,000 shares for 3320, not zero.",
P77197,2025-10-09 10:57:32,78248360,2025-10-09 11:56:24.757,9698,萬國數據－ＳＷ,B,0,36.52,C,0.00,,"The stock code 9698 is not mentioned in the conversation. The client discusses Alibaba (9988) and 3320, but no reference to 9698 or the price 36.52 is made. The quantity (0) in the record is also not discussed.",
P77197,2025-10-09 10:57:32,78254538,2025-10-09 15:36:35.903,3320,華潤醫藥,A,10000,4.95,F,1.00,,"The conversation explicitly confirms the sale of 10,000 shares of 3320 at 4.95. The client states '我而家我而家第四五啦' (4.95), and the broker confirms '四九五走咗先系咪' (execute at 4.95). The quantity (10,000) and price (4.95) in the record match the discussion.",
P77197,2025-10-09 10:57:32,78254546,2025-10-09 15:36:49.560,9988,阿里巴巴－Ｗ,B,200,173.4,F,1.00,,"The conversation explicitly discusses buying 200 shares of Alibaba (9988) at 173.4. The client says '我買二百股夠啦', and the broker states '一百七十三個四啊一百七三個半買兩百股'. The price (173.4) and quantity (200) in the record match the discussion.",
P77197,2025-10-20 10:02:50,78389095,2025-10-20 10:02:50.317,18138,騰訊摩通六一購B,B,20000,0.38,F,1.00,,"The conversation explicitly confirms the purchase of 20,000 shares of stock code 18138 at 0.38. The client states, '三毫八紙我嗰度可以買到二百股啊' (0.38 price) and later corrects to '兩萬股' (20,000 shares). The broker confirms: '三毛(毫)八買兩萬股咧。就七千六百蚊(港幣)嚇，咁啊夠錢嘅。' The stock code is directly mentioned as '一八一三八啊喺騰訊升嘅.' The order time (10:02:50) aligns with the conversation timestamp (10:01:20). All parameters (stock code, price, quantity, direction) match precisely.",
